Name,NHL.com Player ID,Skater/Goalie,Birthdate
A.J. Greer,8478421,S,
Aaron Broten,8445725,S,
Aaron Dell,8477180,G,
Aaron Downey,8465992,S,
Aaron Ekblad,8477932,S,
Aaron Gagnon,8471451,S,
Aaron Gavey,8459010,S,
Aaron Johnson,8469534,S,
Aaron MacKenzie,8471004,S,
Aaron Miller,8457384,S,
Aaron Ness,8474604,S,
Aaron Palushaj,8474030,S,
Aaron Rome,8470310,S,
Aaron Volpatti,8475619,S,
Aaron Voros,8469672,S,
Aaron Ward,8458519,S,
Aatu Raty,8482691,S,
Ab Demarco Jr.,8445867,S,
Ab DeMarco Sr.,8445866,S,
Ab McDonald,8447744,S,
Abbie Cox,8449858,G,
Ace Bailey,8444998,S,
Adam Almquist,8475332,S,
Adam Beckman,8481550,S,
Adam Bennett,8455572,S,
Adam Berkhoel,8468720,G,
Adam Berti,8471281,S,
Adam Boqvist,8480871,S,
Adam Brooks,8478996,S,
Adam Brown,8445180,S,
Adam Burish,8470063,S,
Adam Burt,8445783,S,
Adam Clendening,8476431,S,
Adam Cracknell,8471490,S,
Adam Creighton,8446226,S,
Adam Deadmarsh,8459436,S,
Adam Edstrom,8481726,S,
Adam Erne,8477454,S,
Adam Fantilli,8484166,S,
Adam Foote,8456283,S,
Adam Fox,8479323,S,
Adam Gaudette,8478874,S,
Adam Ginning,8480874,S,
Adam Graves,8447364,S,
Adam Hall,8467925,S,
Adam Hauser,8467954,G,
Adam Henrique,8474641,S,
Adam Huska,8478903,G,
Adam Johnson,8480341,S,
Adam Klapka,8483609,S,
Adam Larsson,8476457,S,
Adam Lowry,8476392,S,
Adam Mair,8466216,S,
Adam McQuaid,8471717,S,
Adam Munro,8469482,G,
Adam Oates,8449951,S,
Adam Pardy,8471385,S,
Adam Payerl,8476522,S,
Adam Pelech,8476917,S,
Adam Pineault,8471259,S,
Adam Raska,8482197,S,
Adam Ruzicka,8480008,S,
Adam Werner,8479530,G,
Adam Wilcox,8476330,G,
Adie Lafrance,8447282,S,
Adin Hill,8478499,G,
Adrian Aucoin,8459053,S,
Adrian Kempe,8477960,S,
Adrian Plavsic,8450471,S,
Aggie Kukulowicz,8447243,S,
Aidan McDonough,8481683,S,
Aki Berg,8462034,S,
Akil Thomas,8480851,S,
Akim Aliu,8474049,S,
Akira Schmid,8481033,G,
Akito Hirose,8484254,S,
Aku Raty,8481699,S,
Al Arbour,8444955,S,
